RACE NUMBER,DISTANCE,TIEMPO,PARTIAL,PACE
203,5K,0:15:59,0:15:59,"0,00"
203,10K,0:32:01,0:16:03,"3,13"
203,15K,0:48:01,0:15:59,"3,12"
203,20K,1:03:57,0:15:56,"3,11"
203,Half,1:07:27,0:03:31,"3,12"
203,25K,1:20:07,0:16:11,"3,14"
203,30K,1:36:20,0:16:13,"3,15"
203,35K,1:52:32,0:16:12,"3,14"
203,40K,2:08:44,0:16:11,"3,14"
203,META,2:15:50,0:07:06,"3,14"
202,5K,0:15:59,0:15:59,"0,00"
202,10K,0:32:01,0:16:02,"3,12"
202,15K,0:48:00,0:16:00,"3,12"
202,20K,1:03:56,0:15:56,"3,11"
202,Half,1:07:27,0:03:31,"3,12"
202,25K,1:20:07,0:16:11,"3,14"
202,30K,1:36:20,0:16:12,"3,14"
202,35K,1:52:37,0:16:17,"3,15"
202,40K,2:09:05,0:16:28,"3,18"
202,META,2:16:21,0:07:16,"3,19"
206,5K,0:15:59,0:15:59,"0,00"
206,10K,0:32:01,0:16:03,"3,13"
206,15K,0:48:01,0:15:59,"3,12"
206,20K,1:03:56,0:15:56,"3,11"
206,Half,1:07:27,0:03:30,"3,11"
206,25K,1:20:08,0:16:11,"3,14"
206,30K,1:36:20,0:16:13,"3,15"
206,35K,1:53:27,0:17:07,"3,25"
206,40K,2:10:31,0:17:04,"3,25"
206,META,2:17:58,0:07:26,"3,23"
207,5K,0:16:11,0:16:11,"0,00"
207,10K,0:32:23,0:16:12,"3,14"
207,15K,0:48:37,0:16:15,"3,15"
207,20K,1:04:42,0:16:05,"3,13"
207,Half,1:08:17,0:03:35,"3,16"
207,25K,1:20:58,0:16:16,"3,15"
207,30K,1:37:28,0:16:29,"3,18"
207,35K,1:54:42,0:17:14,"3,27"
207,40K,2:12:32,0:17:51,"3,34"
207,META,2:20:44,0:08:11,"3,44"
211,5K,0:16:52,0:16:52,"0,00"
211,10K,0:33:45,0:16:52,"3,22"
211,15K,0:50:25,0:16:40,"3,20"
211,20K,1:06:56,0:16:31,"3,18"
211,Half,1:10:35,0:03:39,"3,20"
211,25K,1:23:41,0:16:46,"3,21"
211,30K,1:40:26,0:16:44,"3,21"
211,35K,1:57:27,0:17:01,"3,24"
211,40K,2:14:08,0:16:42,"3,20"
211,META,2:21:26,0:07:17,"3,19"
225,5K,0:16:59,0:16:59,"0,00"
225,10K,0:33:44,0:16:44,"3,21"
225,15K,0:50:24,0:16:41,"3,20"
225,20K,1:06:55,0:16:30,"3,18"
225,Half,1:10:34,0:03:40,"3,21"
225,25K,1:23:41,0:16:46,"3,21"
225,30K,1:40:25,0:16:45,"3,21"
225,35K,1:57:26,0:17:01,"3,24"
225,40K,2:13:59,0:16:32,"3,18"
225,META,2:21:25,0:07:26,"3,23"
210,5K,0:16:11,0:16:11,"0,00"
210,10K,0:32:23,0:16:12,"3,14"
210,15K,0:48:37,0:16:15,"3,15"
210,20K,1:04:42,0:16:05,"3,13"
210,Half,1:08:18,0:03:35,"3,16"
210,25K,1:21:19,0:16:36,"3,19"
210,30K,1:38:55,0:17:36,"3,31"
210,35K,1:56:58,0:18:04,"3,37"
210,40K,2:14:40,0:17:42,"3,32"
210,META,2:22:27,0:07:46,"3,32"
251,5K,0:17:04,0:17:04,"0,00"
251,10K,0:33:58,0:16:55,"3,23"
251,15K,0:51:02,0:17:04,"3,25"
251,20K,1:07:57,0:16:55,"3,23"
251,Half,1:11:43,0:03:45,"3,25"
251,25K,1:25:07,0:17:09,"3,26"
251,30K,1:41:59,0:16:53,"3,23"
251,35K,1:58:59,0:17:00,"3,24"
251,40K,2:15:41,0:16:42,"3,20"
251,META,2:23:05,0:07:24,"3,22"
224,5K,0:17:01,0:17:01,"0,00"
224,10K,0:33:59,0:16:58,"3,24"
224,15K,0:51:00,0:17:01,"3,24"
224,20K,1:07:57,0:16:58,"3,24"
224,Half,1:11:43,0:03:45,"3,25"
224,25K,1:25:05,0:17:07,"3,25"
224,30K,1:41:55,0:16:51,"3,22"
224,35K,1:59:00,0:17:04,"3,25"
224,40K,2:15:47,0:16:47,"3,21"
224,META,2:23:15,0:07:28,"3,24"
248,5K,0:16:59,0:16:59,"0,00"
248,10K,0:33:57,0:16:57,"3,23"
248,15K,0:51:01,0:17:04,"3,25"
248,20K,1:07:58,0:16:57,"3,23"
248,Half,1:11:42,0:03:45,"3,25"
248,25K,1:25:06,0:17:08,"3,26"
248,30K,1:42:10,0:17:04,"3,25"
248,35K,1:59:29,0:17:19,"3,28"
248,40K,2:16:16,0:16:47,"3,21"
248,META,2:23:24,0:07:08,"3,15"
228,5K,0:17:04,0:17:04,"0,00"
228,10K,0:33:59,0:16:56,"3,23"
228,15K,0:51:02,0:17:02,"3,24"
228,20K,1:08:00,0:16:58,"3,24"
228,Half,1:11:43,0:03:44,"3,24"
228,25K,1:25:07,0:17:07,"3,25"
228,30K,1:42:11,0:17:05,"3,25"
228,35K,1:59:34,0:17:23,"3,29"
228,40K,2:16:36,0:17:01,"3,24"
228,META,2:24:01,0:07:25,"3,23"
