OFFICIAL_POSITION,RACE_NUMBER,NAME,OFFICIAL_TIME,REAL_TIME,REAL_AVERAGE,CATEGORY,GENDER
1,203,"DEGEFA, WORKNESH",2:15:51,2:15:50,"3,13",F-SENIOR,F
2,202,"AYANA, ALMAZ",2:16:22,2:16:21,"3,14",F-SENIOR,F
3,206,"GEBREKIDAN, HIWOT",2:17:59,2:17:58,"3,16",F-SENIOR,F
4,207,"CHEPCHIRCHIR, CELESTINE",2:20:46,2:20:44,"3,20",F-SENIOR,F
5,211,"MAAYOUF, MAJIDA",2:21:27,2:21:26,"3,21",F-SENIOR,F
6,225,"HAYDAR, SULTAN",2:21:27,2:21:25,"3,21",F-W35,F
7,210,"MOKONIN, DESI",2:22:29,2:22:27,"3,23",F-SENIOR,F
8,251,"GREGSON, GENEVIEVE",2:23:08,2:23:05,"3,23",F-SENIOR,F
9,224,"YAREMCHUK, SOFIIA",2:23:16,2:23:15,"3,24",F-SENIOR,F
10,248,"BATT-DOYLE, ISOBEL",2:23:27,2:23:24,"3,24",F-SENIOR,F
11,228,"STEYN, GERDA",2:24:03,2:24:01,"3,25",F-SENIOR,F
12,204,"CHELIMO, JOAN",2:24:16,2:24:15,"3,25",F-SENIOR,F
13,213,"WEIGHTMAN, LISA",2:24:18,2:24:17,"3,25",F-W40,F
14,233,"SCHLUMPF, FABIENNE",2:24:30,2:24:29,"3,25",F-SENIOR,F
15,389,"HOTTENROTT, LAURA",2:24:32,2:24:30,"3,25",F-SENIOR,F
16,267,"RICHARDSSON, CAMILLA",2:24:38,2:24:36,"3,26",F-SENIOR,F
17,235,"WOLDU, MEKDES",2:24:44,2:24:43,"3,26",F-SENIOR,F
18,243,"ORTIZ MOROCHO, SILVIA PATRICIA",2:24:50,2:24:48,"3,26",F-SENIOR,F
19,255,"MÉLODY, JULIEN",2:25:01,2:25:00,"3,26",F-SENIOR,F
20,258,"EVANS, CLARA",2:25:04,2:25:01,"3,26",F-SENIOR,F
21,257,"PARTRIDGE, LILY",2:25:12,2:25:09,"3,26",F-SENIOR,F
22,219,"OUHADDOU, FATIMA AZAHARAA",2:25:30,2:25:29,"3,27",F-SENIOR,F
23,217,"LUENGO, LAURA",2:25:35,2:25:33,"3,27",F-SENIOR,F
24,254,"DA SILVA GODINHO, SUSANA CRISTINA",2:25:35,2:25:34,"3,27",F-SENIOR,F
25,259,"STEWARTOVÁ, MOIRA",2:25:36,2:25:35,"3,27",F-SENIOR,F
26,227,"WELLINGS, ELOISE",2:25:47,2:25:45,"3,27",F-SENIOR,F
