RACE_NUMBER,DISTANCE,TIME,PARTIAL,PACE,NAME,GENDER,OFFICIAL_POSITION,POSITION_GROUPING,PACE_DATETIME,TIME_DATETIME,PARTIAL_DATETIME
203,5K,0:15:59,0:15:59,"0,00","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:00:00,2023-12-03T00:15:59,2023-12-03T00:15:59
203,10K,0:32:01,0:16:03,"3,13","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:13,2023-12-03T00:32:01,2023-12-03T00:16:03
203,15K,0:48:01,0:15:59,"3,12","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:12,2023-12-03T00:48:01,2023-12-03T00:15:59
203,20K,1:03:57,0:15:56,"3,11","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:11,2023-12-03T01:03:57,2023-12-03T00:15:56
203,Half,1:07:27,0:03:31,"3,12","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:12,2023-12-03T01:07:27,2023-12-03T00:03:31
203,25K,1:20:07,0:16:11,"3,14","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:14,2023-12-03T01:20:07,2023-12-03T00:16:11
203,30K,1:36:20,0:16:13,"3,15","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:15,2023-12-03T01:36:20,2023-12-03T00:16:13
203,35K,1:52:32,0:16:12,"3,14","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:14,2023-12-03T01:52:32,2023-12-03T00:16:12
203,40K,2:08:44,0:16:11,"3,14","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:14,2023-12-03T02:08:44,2023-12-03T00:16:11
203,META,2:15:50,0:07:06,"3,14","DEGEFA, WORKNESH",F,1,Top 10,2023-12-03T00:03:14,2023-12-03T02:15:50,2023-12-03T00:07:06
202,5K,0:15:59,0:15:59,"0,00","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:00:00,2023-12-03T00:15:59,2023-12-03T00:15:59
202,10K,0:32:01,0:16:02,"3,12","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:12,2023-12-03T00:32:01,2023-12-03T00:16:02
202,15K,0:48:00,0:16:00,"3,12","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:12,2023-12-03T00:48:00,2023-12-03T00:16:00
202,20K,1:03:56,0:15:56,"3,11","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:11,2023-12-03T01:03:56,2023-12-03T00:15:56
202,Half,1:07:27,0:03:31,"3,12","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:12,2023-12-03T01:07:27,2023-12-03T00:03:31
202,25K,1:20:07,0:16:11,"3,14","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:14,2023-12-03T01:20:07,2023-12-03T00:16:11
202,30K,1:36:20,0:16:12,"3,14","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:14,2023-12-03T01:36:20,2023-12-03T00:16:12
202,35K,1:52:37,0:16:17,"3,15","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:15,2023-12-03T01:52:37,2023-12-03T00:16:17
202,40K,2:09:05,0:16:28,"3,18","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:18,2023-12-03T02:09:05,2023-12-03T00:16:28
202,META,2:16:21,0:07:16,"3,19","AYANA, ALMAZ",F,2,Top 10,2023-12-03T00:03:19,2023-12-03T02:16:21,2023-12-03T00:07:16
206,5K,0:15:59,0:15:59,"0,00","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:00:00,2023-12-03T00:15:59,2023-12-03T00:15:59
206,10K,0:32:01,0:16:03,"3,13","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:13,2023-12-03T00:32:01,2023-12-03T00:16:03
206,15K,0:48:01,0:15:59,"3,12","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:12,2023-12-03T00:48:01,2023-12-03T00:15:59
206,20K,1:03:56,0:15:56,"3,11","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:11,2023-12-03T01:03:56,2023-12-03T00:15:56
206,Half,1:07:27,0:03:30,"3,11","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:11,2023-12-03T01:07:27,2023-12-03T00:03:30
206,25K,1:20:08,0:16:11,"3,14","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:14,2023-12-03T01:20:08,2023-12-03T00:16:11
206,30K,1:36:20,0:16:13,"3,15","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:15,2023-12-03T01:36:20,2023-12-03T00:16:13
206,35K,1:53:27,0:17:07,"3,25","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:25,2023-12-03T01:53:27,2023-12-03T00:17:07
206,40K,2:10:31,0:17:04,"3,25","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:25,2023-12-03T02:10:31,2023-12-03T00:17:04
206,META,2:17:58,0:07:26,"3,23","GEBREKIDAN, HIWOT",F,3,Top 10,2023-12-03T00:03:23,2023-12-03T02:17:58,2023-12-03T00:07:26
207,5K,0:16:11,0:16:11,"0,00","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:00:00,2023-12-03T00:16:11,2023-12-03T00:16:11
207,10K,0:32:23,0:16:12,"3,14","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:14,2023-12-03T00:32:23,2023-12-03T00:16:12
207,15K,0:48:37,0:16:15,"3,15","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:15,2023-12-03T00:48:37,2023-12-03T00:16:15
207,20K,1:04:42,0:16:05,"3,13","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:13,2023-12-03T01:04:42,2023-12-03T00:16:05
207,Half,1:08:17,0:03:35,"3,16","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:16,2023-12-03T01:08:17,2023-12-03T00:03:35
207,25K,1:20:58,0:16:16,"3,15","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:15,2023-12-03T01:20:58,2023-12-03T00:16:16
207,30K,1:37:28,0:16:29,"3,18","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:18,2023-12-03T01:37:28,2023-12-03T00:16:29
207,35K,1:54:42,0:17:14,"3,27","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:27,2023-12-03T01:54:42,2023-12-03T00:17:14
207,40K,2:12:32,0:17:51,"3,34","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:34,2023-12-03T02:12:32,2023-12-03T00:17:51
207,META,2:20:44,0:08:11,"3,44","CHEPCHIRCHIR, CELESTINE",F,4,Top 10,2023-12-03T00:03:44,2023-12-03T02:20:44,2023-12-03T00:08:11
211,5K,0:16:52,0:16:52,"0,00","MAAYOUF, MAJIDA",F,5,Top 10,2023-12-03T00:00:00,2023-12-03T00:16:52,2023-12-03T00:16:52
